number,title,authors,source_venue,track,openreview_submission_number,decision,archival_status,paper_type,aclpubcheck_status,aclpubcheck_summary,openreview_url,pdf_path,supplementary_files,aclpubcheck_pdf_sha256,checked_at_utc
078,When Targeted Grounded Gains Hide Complementary Abstraction Regression: DION-Bench and a Conjunctive Evaluation Protocol,Zida Yang; Guquan You; Jiexin Zheng; Yijie Peng,EMNLP/2026/Workshop/GroundLM_ARR_Commitment,Track 2: ARR Commitment,25,Accept,archival,long,pending,Not run,https://openreview.net/forum?id=oLDghRrpZh,all_papers/078/paper.pdf,all_papers/078/supplementary/Supplementary_material.zip,,
079,Evidence-Indexed Slide Narration With Heuristic Checks and Template Fallback,Sachin Gupta,EMNLP/2026/Workshop/GroundLM_ARR_Commitment,Track 2: ARR Commitment,27,Accept,archival,long,pending,Not run,https://openreview.net/forum?id=3NBqoPGx8D,all_papers/079/paper.pdf,all_papers/079/supplementary/Supplementary_material.zip,,
080,Default Zero-Shot LLM APIs Over-Flag Indian Financial SMS: A Policy-Aligned Benchmark and Template-Level Pre-Deployment Audit,Sachin Gupta,EMNLP/2026/Workshop/GroundLM_ARR_Commitment,Track 2: ARR Commitment,28,Accept,archival,long,pending,Not run,https://openreview.net/forum?id=tfVSGq4jUZ,all_papers/080/paper.pdf,all_papers/080/supplementary/Supplementary_material.zip,,
081,PageRecall: Measuring Page Selection in Literature-Grounded Question Answering,Aaditya Chauhan,EMNLP/2026/Workshop/GroundLM_Shared_Tasks,Shared Tasks,1,Accept,archival,long,pending,Not run,https://openreview.net/forum?id=ls5Pbg3hmr,all_papers/081/paper.pdf,all_papers/081/supplementary/test_output_files.zip,,
082,CoVeR-VQA: Multi-Stage Evidence Verification for GoldenViewVQA,Kun Wang; Yupeng Hu; Ruping Cao; Hao Liu; Zhiran Li; Qianlong Xiang; Harry Cheng,EMNLP/2026/Workshop/GroundLM_Shared_Tasks,Shared Tasks,3,Accept,archival,long,pending,Not run,https://openreview.net/forum?id=POfk9xUI2u,all_papers/082/paper.pdf,all_papers/082/supplementary/test_output_files.jsonl,,
083,A Non-Visual Baseline for Multi-View Visual Question Answering on GoldenViewVQA,Aravind Mandiga,EMNLP/2026/Workshop/GroundLM_Shared_Tasks,Shared Tasks,4,Accept,archival,long,pending,Not run,https://openreview.net/forum?id=i4eqjouBvv,all_papers/083/paper.pdf,all_papers/083/supplementary/test_output_files.zip,,
084,ThousandOfWind at GroundLM 2026 Shared Task: An Auditable Hybrid Pipeline for LitTraceQA,zhiruizhu,EMNLP/2026/Workshop/GroundLM_Shared_Tasks,Shared Tasks,5,Accept,archival,long,pending,Not run,https://openreview.net/forum?id=dLSqCYXlw9,all_papers/084/paper.pdf,all_papers/084/supplementary/test_output_files.jsonl,,
085,Maddies at GroundLM 2026 Shared Tasks: Answer-Preserving Visual Re-grounding for Multi-View Driving VQA,Aditya Channa; Madhav Kapoor; Jastej Singh,EMNLP/2026/Workshop/GroundLM_Shared_Tasks,Shared Tasks,6,Accept,archival,long,pending,Not run,https://openreview.net/forum?id=9lnriYsq8u,all_papers/085/paper.pdf,all_papers/085/supplementary/test_output_files.jsonl,,
086,"TRACE: Target-Aware Retrieval, Attributed Evidence, and Contract-Constrained Extraction for LitTraceQA",Sachin Gupta; Divya Godara,EMNLP/2026/Workshop/GroundLM_Shared_Tasks,Shared Tasks,7,Accept,archival,long,pending,Not run,https://openreview.net/forum?id=oqkVkV2x82,all_papers/086/paper.pdf,all_papers/086/supplementary/test_output_files.jsonl,,
087,SAGE: Slot-Aware Grounded Evidence Acquisition for LitTraceQA,Gang Xu; Ce Huang; Yushan Pan; Wei Wang,EMNLP/2026/Workshop/GroundLM_Shared_Tasks,Shared Tasks,8,Accept,archival,long,pending,Not run,https://openreview.net/forum?id=I99bgQMSKW,all_papers/087/paper.pdf,all_papers/087/supplementary/test_output_files.jsonl,,
088,OdeD at GroundLM 2026 Shared Tasks: Reading the Scorer for Literature-Grounded QA,Omar Mokhtar Gaber Saqr; Mostafa Gaafar,EMNLP/2026/Workshop/GroundLM_Shared_Tasks,Shared Tasks,9,Accept,archival,long,pending,Not run,https://openreview.net/forum?id=BMH2uTgrew,all_papers/088/paper.pdf,all_papers/088/supplementary/test_output_files.zip,,
089,Lit3R: Retrieve–Relate–Read for Evidence-Grounded Question Answering over Scientific Literature,Akira Ise; Kotaro Kumagai; Yuta Yamaguchi; Hisanori Ozaki; Yukio Uematsu; Ikuya Yamada,EMNLP/2026/Workshop/GroundLM_Shared_Tasks,Shared Tasks,10,Accept,archival,long,pending,Not run,https://openreview.net/forum?id=IjqWQy8QpA,all_papers/089/paper.pdf,all_papers/089/supplementary/test_output_files.jsonl,,
090,Ensar at GroundLM 2026 Shared Tasks: Symbolic Scene Serialisation for View-Level Evidence Identification,Mostafa Gaafar; Omar Mokhtar Gaber Saqr,EMNLP/2026/Workshop/GroundLM_Shared_Tasks,Shared Tasks,11,Accept,archival,long,pending,Not run,https://openreview.net/forum?id=5fLV7SneqK,all_papers/090/paper.pdf,all_papers/090/supplementary/test_output_files.zip,,
